"Grade","Section","Subject","Course Name","Link"
"Grade 9","INTEGRITY","Computer","GRADE 9 - INTEGRITY|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=191"
"Grade 9","INTEGRITY","English","GRADE 9 - INTEGRITY|English","https://sbcjhs2.aralinks.net/course/view.php?id=364"
"Grade 9","INTEGRITY","Filipino","GRADE 9 - INTEGRITY|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=193"
"Grade 9","INTEGRITY","MAPEH","GRADE 9 - INTEGRITY|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=194"
"Grade 9","INTEGRITY","Mathematics","GRADE 9 - INTEGRITY|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=195"
"Grade 9","INTEGRITY","Phil-IRI","GRADE 9 - INTEGRITY|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=192"
"Grade 9","INTEGRITY","Science","GRADE 9 - INTEGRITY|Science","https://sbcjhs2.aralinks.net/course/view.php?id=196"
"Grade 9","INTEGRITY","Social Studies","GRADE 9 - INTEGRITY|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=197"
"Grade 9","INTEGRITY","TLE","GRADE 9 - INTEGRITY|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=198"
"Grade 9","LOYALTY","Christian Living and Values Education","GRADE 9 - LOYALTY|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=199"
"Grade 9","LOYALTY","Computer","GRADE 9 - LOYALTY|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=200"
"Grade 9","LOYALTY","English","GRADE 9 - LOYALTY|English","https://sbcjhs2.aralinks.net/course/view.php?id=365"
"Grade 9","LOYALTY","Filipino","GRADE 9 - LOYALTY|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=202"
"Grade 9","LOYALTY","MAPEH","GRADE 9 - LOYALTY|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=203"
"Grade 9","LOYALTY","Mathematics","GRADE 9 - LOYALTY|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=204"
"Grade 9","LOYALTY","Phil-IRI","GRADE 9 - LOYALTY|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=201"
"Grade 9","LOYALTY","Science","GRADE 9 - LOYALTY|Science","https://sbcjhs2.aralinks.net/course/view.php?id=205"
"Grade 9","LOYALTY","Social Studies","GRADE 9 - LOYALTY|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=206"
"Grade 9","LOYALTY","TLE","GRADE 9 - LOYALTY|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=207"
"Grade 9","MODESTY","Christian Living and Values Education","GRADE 9 - MODESTY|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=208"
"Grade 9","MODESTY","Computer","GRADE 9 - MODESTY|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=209"
"Grade 9","MODESTY","English","GRADE 9 - MODESTY|English","https://sbcjhs2.aralinks.net/course/view.php?id=366"
"Grade 9","MODESTY","Filipino","GRADE 9 - MODESTY|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=211"
"Grade 9","MODESTY","MAPEH","GRADE 9 - MODESTY|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=212"
"Grade 9","MODESTY","Mathematics","GRADE 9 - MODESTY|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=213"
"Grade 9","MODESTY","Phil-IRI","GRADE 9 - MODESTY|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=210"
"Grade 9","MODESTY","Science","GRADE 9 - MODESTY|Science","https://sbcjhs2.aralinks.net/course/view.php?id=214"
"Grade 9","MODESTY","Social Studies","GRADE 9 - MODESTY|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=215"
"Grade 9","MODESTY","TLE","GRADE 9 - MODESTY|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=216"
"Grade 9","SERENITY","Christian Living and Values Education","GRADE 9 - SERENITY|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=217"
"Grade 9","SERENITY","Computer","GRADE 9 - SERENITY|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=218"
"Grade 9","SERENITY","English","GRADE 9 - SERENITY|English","https://sbcjhs2.aralinks.net/course/view.php?id=367"
"Grade 9","SERENITY","Filipino","GRADE 9 - SERENITY|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=220"
"Grade 9","SERENITY","MAPEH","GRADE 9 - SERENITY|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=221"
"Grade 9","SERENITY","Mathematics","GRADE 9 - SERENITY|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=222"
"Grade 9","SERENITY","Phil-IRI","GRADE 9 - SERENITY|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=219"
"Grade 9","SERENITY","Science","GRADE 9 - SERENITY|Science","https://sbcjhs2.aralinks.net/course/view.php?id=223"
"Grade 9","SERENITY","Social Studies","GRADE 9 - SERENITY|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=224"
"Grade 9","SERENITY","TLE","GRADE 9 - SERENITY|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=225"
"Grade 10","COMPASSION","Christian Living and Values Education","GRADE 10 - COMPASSION|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=226"
"Grade 10","COMPASSION","Computer","GRADE 10 - COMPASSION|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=227"
"Grade 10","COMPASSION","English","GRADE 10 - COMPASSION|English","https://sbcjhs2.aralinks.net/course/view.php?id=368"
"Grade 10","COMPASSION","Filipino","GRADE 10 - COMPASSION|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=229"
"Grade 10","COMPASSION","MAPEH","GRADE 10 - COMPASSION|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=230"
"Grade 10","COMPASSION","Mathematics","GRADE 10 - COMPASSION|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=231"
"Grade 10","COMPASSION","Phil-IRI","GRADE 10 - COMPASSION|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=228"
"Grade 10","COMPASSION","Science","GRADE 10 - COMPASSION|Science","https://sbcjhs2.aralinks.net/course/view.php?id=232"
"Grade 10","COMPASSION","Social Studies","GRADE 10 - COMPASSION|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=233"
"Grade 10","COMPASSION","TLE","GRADE 10 - COMPASSION|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=234"
"Grade 10","COURAGE","Christian Living and Values Education","GRADE 10 - COURAGE|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=235"
"Grade 10","COURAGE","Computer","GRADE 10 - COURAGE|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=236"
"Grade 10","COURAGE","English","GRADE 10 - COURAGE|English","https://sbcjhs2.aralinks.net/course/view.php?id=369"
"Grade 10","COURAGE","Filipino","GRADE 10 - COURAGE|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=238"
"Grade 10","COURAGE","MAPEH","GRADE 10 - COURAGE|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=239"
"Grade 10","COURAGE","Mathematics","GRADE 10 - COURAGE|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=240"
"Grade 10","COURAGE","Phil-IRI","GRADE 10 - COURAGE|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=237"
"Grade 10","COURAGE","Science","GRADE 10 - COURAGE|Science","https://sbcjhs2.aralinks.net/course/view.php?id=241"
"Grade 10","COURAGE","Social Studies","GRADE 10 - COURAGE|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=242"
"Grade 10","COURAGE","TLE","GRADE 10 - COURAGE|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=243"
"Grade 10","GENEROSITY","Christian Living and Values Education","GRADE 10 - GENEROSITY|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=244"
"Grade 10","GENEROSITY","Computer","GRADE 10 - GENEROSITY|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=245"
"Grade 10","GENEROSITY","English","GRADE 10 - GENEROSITY|English","https://sbcjhs2.aralinks.net/course/view.php?id=370"
"Grade 10","GENEROSITY","Filipino","GRADE 10 - GENEROSITY|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=247"
"Grade 10","GENEROSITY","MAPEH","GRADE 10 - GENEROSITY|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=248"
"Grade 10","GENEROSITY","Mathematics","GRADE 10 - GENEROSITY|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=249"
"Grade 10","GENEROSITY","Phil-IRI","GRADE 10 - GENEROSITY|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=246"
"Grade 10","GENEROSITY","Science","GRADE 10 - GENEROSITY|Science","https://sbcjhs2.aralinks.net/course/view.php?id=250"
"Grade 10","GENEROSITY","Social Studies","GRADE 10 - GENEROSITY|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=251"
"Grade 10","GENEROSITY","TLE","GRADE 10 - GENEROSITY|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=252"
"Grade 10","JUSTICE","Christian Living and Values Education","GRADE 10 - JUSTICE|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=253"
"Grade 10","JUSTICE","Computer","GRADE 10 - JUSTICE|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=254"
"Grade 10","JUSTICE","English","GRADE 10 - JUSTICE|English","https://sbcjhs2.aralinks.net/course/view.php?id=371"
"Grade 10","JUSTICE","Filipino","GRADE 10 - JUSTICE|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=256"
"Grade 10","JUSTICE","MAPEH","GRADE 10 - JUSTICE|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=257"
"Grade 10","JUSTICE","Mathematics","GRADE 10 - JUSTICE|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=258"
"Grade 10","JUSTICE","Phil-IRI","GRADE 10 - JUSTICE|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=255"
"Grade 10","JUSTICE","Science","GRADE 10 - JUSTICE|Science","https://sbcjhs2.aralinks.net/course/view.php?id=259"
"Grade 10","JUSTICE","Social Studies","GRADE 10 - JUSTICE|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=260"
"Grade 10","JUSTICE","TLE","GRADE 10 - JUSTICE|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=261"
"Grade 10","NATIONALISM","Christian Living and Values Education","GRADE 10 - NATIONALISM|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=262"
"Grade 10","NATIONALISM","Computer","GRADE 10 - NATIONALISM|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=263"
"Grade 10","NATIONALISM","English","GRADE 10 - NATIONALISM|English","https://sbcjhs2.aralinks.net/course/view.php?id=372"
"Grade 10","NATIONALISM","Filipino","GRADE 10 - NATIONALISM|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=265"
"Grade 10","NATIONALISM","MAPEH","GRADE 10 - NATIONALISM|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=266"
"Grade 10","NATIONALISM","Mathematics","GRADE 10 - NATIONALISM|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=267"
"Grade 10","NATIONALISM","Phil-IRI","GRADE 10 - NATIONALISM|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=264"
"Grade 10","NATIONALISM","Science","GRADE 10 - NATIONALISM|Science","https://sbcjhs2.aralinks.net/course/view.php?id=268"
"Grade 10","NATIONALISM","Social Studies","GRADE 10 - NATIONALISM|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=269"
"Grade 10","NATIONALISM","TLE","GRADE 10 - NATIONALISM|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=270"
"Grade 10","PERSEVERANCE","Christian Living and Values Education","GRADE 10 - PERSEVERANCE|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=271"
"Grade 10","PERSEVERANCE","Computer","GRADE 10 - PERSEVERANCE|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=272"
"Grade 10","PERSEVERANCE","English","GRADE 10 - PERSEVERANCE|English","https://sbcjhs2.aralinks.net/course/view.php?id=373"
"Grade 10","PERSEVERANCE","Filipino","GRADE 10 - PERSEVERANCE|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=274"
"Grade 10","PERSEVERANCE","MAPEH","GRADE 10 - PERSEVERANCE|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=275"
"Grade 10","PERSEVERANCE","Mathematics","GRADE 10 - PERSEVERANCE|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=276"
"Grade 10","PERSEVERANCE","Phil-IRI","GRADE 10 - PERSEVERANCE|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=273"
"Grade 10","PERSEVERANCE","Science","GRADE 10 - PERSEVERANCE|Science","https://sbcjhs2.aralinks.net/course/view.php?id=277"
"Grade 10","PERSEVERANCE","Social Studies","GRADE 10 - PERSEVERANCE|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=278"
"Grade 10","PERSEVERANCE","TLE","GRADE 10 - PERSEVERANCE|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=279"
"Grade 10","SERVICE","Christian Living and Values Education","GRADE 10 - SERVICE|Christian Living and Values Education","https://sbcjhs2.aralinks.net/course/view.php?id=280"
"Grade 10","SERVICE","Computer","GRADE 10 - SERVICE|Computer","https://sbcjhs2.aralinks.net/course/view.php?id=281"
"Grade 10","SERVICE","English","GRADE 10 - SERVICE|English","https://sbcjhs2.aralinks.net/course/view.php?id=374"
"Grade 10","SERVICE","Filipino","GRADE 10 - SERVICE|Filipino","https://sbcjhs2.aralinks.net/course/view.php?id=283"
"Grade 10","SERVICE","MAPEH","GRADE 10 - SERVICE|MAPEH","https://sbcjhs2.aralinks.net/course/view.php?id=284"
"Grade 10","SERVICE","Mathematics","GRADE 10 - SERVICE|Mathematics","https://sbcjhs2.aralinks.net/course/view.php?id=285"
"Grade 10","SERVICE","Phil-IRI","GRADE 10 - SERVICE|Phil-IRI","https://sbcjhs2.aralinks.net/course/view.php?id=282"
"Grade 10","SERVICE","Science","GRADE 10 - SERVICE|Science","https://sbcjhs2.aralinks.net/course/view.php?id=286"
"Grade 10","SERVICE","Social Studies","GRADE 10 - SERVICE|Social Studies","https://sbcjhs2.aralinks.net/course/view.php?id=287"
"Grade 10","SERVICE","TLE","GRADE 10 - SERVICE|TLE","https://sbcjhs2.aralinks.net/course/view.php?id=288"
